kabupaten,kebutuhan_jam,prioritas
Kabupaten_1,14,3
Kabupaten_2,13,1
Kabupaten_3,14,4
Kabupaten_4,9,2
Kabupaten_5,6,1
Kabupaten_6,8,4
Kabupaten_7,16,4
Kabupaten_8,19,4
Kabupaten_9,16,1
Kabupaten_10,11,1
Kabupaten_11,16,1
Kabupaten_12,17,3
Kabupaten_13,12,1
Kabupaten_14,19,1
Kabupaten_15,7,1
Kabupaten_16,18,3
Kabupaten_17,5,1
Kabupaten_18,8,4
Kabupaten_19,6,1
Kabupaten_20,12,4
Kabupaten_21,8,4
Kabupaten_22,6,4
Kabupaten_23,18,3
Kabupaten_24,10,3
Kabupaten_25,10,3
Kabupaten_26,14,1
Kabupaten_27,8,4
Kabupaten_28,10,3
Kabupaten_29,17,3
Kabupaten_30,19,1
Kabupaten_31,6,3
Kabupaten_32,14,1
Kabupaten_33,16,2
Kabupaten_34,6,3
Kabupaten_35,14,2
Kabupaten_36,18,1
Kabupaten_37,8,4
Kabupaten_38,18,3
Kabupaten_39,19,1
Kabupaten_40,19,4
Kabupaten_41,12,4
Kabupaten_42,18,2
Kabupaten_43,11,1
Kabupaten_44,16,4
Kabupaten_45,13,3
Kabupaten_46,18,3
Kabupaten_47,12,2
Kabupaten_48,9,4
Kabupaten_49,17,1
Kabupaten_50,6,3
